?????#??????????# 6,1,6
????#????###.??? 1,2,1,3,1
????#????###.???#????#????###.??? 1,2,1,3,1,1,2,1,3,1
????#????###.???#????#????###.???#????#????###.??? 1,2,1,3,1,1,2,1,3,1,1,2,1,3,1
????#????###.???#????#????###.???#????#????###.???#????#????###.??? 1,2,1,3,1,1,2,1,3,1,1,2,1,3,1,1,2,1,3,1
?..?##???#?.?.??.?? 7,2
?..?##???#?.?.??.??#?..?##???#?.?.??.?? 7,2,7,2
?..?##???#?.?.??.??#?..?##???#?.?.??.??#?..?##???#?.?.??.?? 7,2,7,2,7,2
?..?##???#?.?.??.??#?..?##???#?.?.??.??#?..?##???#?.?.??.??#?..?##???#?.?.??.?? 7,2,7,2,7,2,7,2
?##??..??.?? 4,1
?##??..??.??#?##??..??.?? 4,1,4,1
?##??..??.??#?##??..??.??#?##??..??.?? 4,1,4,1,4,1
?##??..??.??#?##??..??.??#?##??..??.??#?##??..??.?? 4,1,4,1,4,1,4,1
?#?#?????.? 8,1
?#?#?????.?#?#?#?????.? 8,1,8,1
?#?#?????.?#?#?#?????.?#?#?#?????.? 8,1,8,1,8,1
?#?#?????.?#?#?#?????.?#?#?#?????.?#?#?#?????.? 8,1,8,1,8,1,8,1
#????##?#??#??#?#?.? 9,2,1,2,1
#????##?#??#??#?#?.?##????##?#??#??#?#?.? 9,2,1,2,1,9,2,1,2,1
#????##?#??#??#?#?.?##????##?#??#??#?#?.?##????##?#??#??#?#?.? 9,2,1,2,1,9,2,1,2,1,9,2,1,2,1
#????##?#??#??#?#?.?##????##?#??#??#?#?.?##????##?#??#??#?#?.?##????##?#??#??#?#?.? 9,2,1,2,1,9,2,1,2,1,9,2,1,2,1,9,2,1,2,1
?.??#?#???? 1,5,1
?.??#?#????#?.??#?#???? 1,5,1,1,5,1
?.??#?#????#?.??#?#????#?.??#?#???? 1,5,1,1,5,1,1,5,1
?.??#?#????#?.??#?#????#?.??#?#????#?.??#?#???? 1,5,1,1,5,1,1,5,1,1,5,1
???????#????.?#. 10,2
???????#????.?#.#???????#????.?#. 10,2,10,2
???????#????.?#.#???????#????.?#.#???????#????.?#. 10,2,10,2,10,2
???????#????.?#.#???????#????.?#.#???????#????.?#.#???????#????.?#. 10,2,10,2,10,2,10,2
??.?????#? 1,5
??.?????#?#??.?????#? 1,5,1,5
??.?????#?#??.?????#?#??.?????#? 1,5,1,5,1,5
??.?????#?#??.?????#?#??.?????#?#??.?????#? 1,5,1,5,1,5,1,5
??.?????#?#??.?????#?#??.?????#?#??.?????#?#??.?????#? 1,5,1,5,1,5,1,5,1,5
.?.????.??? 1,1,3
.?.????.???#.?.????.??? 1,1,3,1,1,3
.?.????.???#.?.????.???#.?.????.??? 1,1,3,1,1,3,1,1,3
.?.????.???#.?.????.???#.?.????.???#.?.????.??? 1,1,3,1,1,3,1,1,3,1,1,3
.?.????.???#.?.????.???#.?.????.???#.?.????.???#.?.????.??? 1,1,3,1,1,3,1,1,3,1,1,3,1,1,3
.#??.??.???.???. 1,1,2,1,2
.#??.??.???.???.#.#??.??.???.???. 1,1,2,1,2,1,1,2,1,2
.#??.??.???.???.#.#??.??.???.???.#.#??.??.???.???. 1,1,2,1,2,1,1,2,1,2,1,1,2,1,2
.#??.??.???.???.#.#??.??.???.???.#.#??.??.???.???.#.#??.??.???.???. 1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2
.#??.??.???.???.#.#??.??.???.???.#.#??.??.???.???.#.#??.??.???.???.#.#??.??.???.???. 1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2
